candidato,votos,porcentaje,nivel,region,distrito,comuna
JEANNETTE JARA ROMAN,44335,26.650000000000002,comuna,DEL MAULE,DISTRITO 17,TALCA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1695,1.02,comuna,DEL MAULE,DISTRITO 17,TALCA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,21588,12.97,comuna,DEL MAULE,DISTRITO 17,TALCA
JOSE ANTONIO KAST RIST,42198,25.36,comuna,DEL MAULE,DISTRITO 17,TALCA
EDUARDO ANTONIO ARTES BRICHETTI,895,0.54,comuna,DEL MAULE,DISTRITO 17,TALCA
EVELYN MATTHEI FORNET,20022,12.03,comuna,DEL MAULE,DISTRITO 17,TALCA
HAROLD MAYNE-NICHOLLS SECUL,2128,1.28,comuna,DEL MAULE,DISTRITO 17,TALCA
FRANCO PARISI FERNANDEZ,5819,24.14,comuna,DEL MAULE,DISTRITO 17,TENO
JEANNETTE JARA ROMAN,4349,18.04,comuna,DEL MAULE,DISTRITO 17,TENO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,330,1.37,comuna,DEL MAULE,DISTRITO 17,TENO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,3264,13.54,comuna,DEL MAULE,DISTRITO 17,TENO
JOSE ANTONIO KAST RIST,7866,32.63,comuna,DEL MAULE,DISTRITO 17,TENO
EDUARDO ANTONIO ARTES BRICHETTI,83,0.33999999999999997,comuna,DEL MAULE,DISTRITO 17,TENO
EVELYN MATTHEI FORNET,2146,8.9,comuna,DEL MAULE,DISTRITO 17,TENO
HAROLD MAYNE-NICHOLLS SECUL,246,1.02,comuna,DEL MAULE,DISTRITO 17,TENO
FRANCO PARISI FERNANDEZ,589,13.82,comuna,DEL MAULE,DISTRITO 17,VICHUQUEN
JEANNETTE JARA ROMAN,1001,23.479999999999997,comuna,DEL MAULE,DISTRITO 17,VICHUQUEN
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,32,0.75,comuna,DEL MAULE,DISTRITO 17,VICHUQUEN
JOHANNES KAISER BARENTS-VON HOHENHAGEN,519,12.17,comuna,DEL MAULE,DISTRITO 17,VICHUQUEN
JOSE ANTONIO KAST RIST,1514,35.51,comuna,DEL MAULE,DISTRITO 17,VICHUQUEN
EDUARDO ANTONIO ARTES BRICHETTI,19,0.45,comuna,DEL MAULE,DISTRITO 17,VICHUQUEN
EVELYN MATTHEI FORNET,552,12.950000000000001,comuna,DEL MAULE,DISTRITO 17,VICHUQUEN
HAROLD MAYNE-NICHOLLS SECUL,37,0.8700000000000001,comuna,DEL MAULE,DISTRITO 17,VICHUQUEN
FRANCO PARISI FERNANDEZ,6117,18.66,comuna,DEL MAULE,DISTRITO 18,CAUQUENES
JEANNETTE JARA ROMAN,5028,15.34,comuna,DEL MAULE,DISTRITO 18,CAUQUENES
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,319,0.97,comuna,DEL MAULE,DISTRITO 18,CAUQUENES
JOHANNES KAISER BARENTS-VON HOHENHAGEN,5584,17.04,comuna,DEL MAULE,DISTRITO 18,CAUQUENES
JOSE ANTONIO KAST RIST,12539,38.25,comuna,DEL MAULE,DISTRITO 18,CAUQUENES
EDUARDO ANTONIO ARTES BRICHETTI,119,0.36,comuna,DEL MAULE,DISTRITO 18,CAUQUENES
EVELYN MATTHEI FORNET,2861,8.729999999999999,comuna,DEL MAULE,DISTRITO 18,CAUQUENES
HAROLD MAYNE-NICHOLLS SECUL,211,0.64,comuna,DEL MAULE,DISTRITO 18,CAUQUENES
FRANCO PARISI FERNANDEZ,1462,18.330000000000002,comuna,DEL MAULE,DISTRITO 18,CHANCO
JEANNETTE JARA ROMAN,1270,15.92,comuna,DEL MAULE,DISTRITO 18,CHANCO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,74,0.93,comuna,DEL MAULE,DISTRITO 18,CHANCO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,890,11.16,comuna,DEL MAULE,DISTRITO 18,CHANCO
JOSE ANTONIO KAST RIST,3717,46.61,comuna,DEL MAULE,DISTRITO 18,CHANCO
EDUARDO ANTONIO ARTES BRICHETTI,33,0.41000000000000003,comuna,DEL MAULE,DISTRITO 18,CHANCO
EVELYN MATTHEI FORNET,494,6.1899999999999995,comuna,DEL MAULE,DISTRITO 18,CHANCO
HAROLD MAYNE-NICHOLLS SECUL,35,0.44,comuna,DEL MAULE,DISTRITO 18,CHANCO
FRANCO PARISI FERNANDEZ,4591,25.9,comuna,DEL MAULE,DISTRITO 18,COLBUN
JEANNETTE JARA ROMAN,3617,20.41,comuna,DEL MAULE,DISTRITO 18,COLBUN
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,205,1.1600000000000001,comuna,DEL MAULE,DISTRITO 18,COLBUN
JOHANNES KAISER BARENTS-VON HOHENHAGEN,2287,12.9,comuna,DEL MAULE,DISTRITO 18,COLBUN
JOSE ANTONIO KAST RIST,5564,31.39,comuna,DEL MAULE,DISTRITO 18,COLBUN
EDUARDO ANTONIO ARTES BRICHETTI,82,0.46,comuna,DEL MAULE,DISTRITO 18,COLBUN
EVELYN MATTHEI FORNET,1272,7.18,comuna,DEL MAULE,DISTRITO 18,COLBUN
HAROLD MAYNE-NICHOLLS SECUL,107,0.6,comuna,DEL MAULE,DISTRITO 18,COLBUN
FRANCO PARISI FERNANDEZ,16092,21.97,comuna,DEL MAULE,DISTRITO 18,LINARES
JEANNETTE JARA ROMAN,15760,21.51,comuna,DEL MAULE,DISTRITO 18,LINARES
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,772,1.05,comuna,DEL MAULE,DISTRITO 18,LINARES
JOHANNES KAISER BARENTS-VON HOHENHAGEN,10895,14.870000000000001,comuna,DEL MAULE,DISTRITO 18,LINARES
JOSE ANTONIO KAST RIST,21862,29.84,comuna,DEL MAULE,DISTRITO 18,LINARES
EDUARDO ANTONIO ARTES BRICHETTI,311,0.42000000000000004,comuna,DEL MAULE,DISTRITO 18,LINARES
EVELYN MATTHEI FORNET,6950,9.49,comuna,DEL MAULE,DISTRITO 18,LINARES
HAROLD MAYNE-NICHOLLS SECUL,610,0.8300000000000001,comuna,DEL MAULE,DISTRITO 18,LINARES
FRANCO PARISI FERNANDEZ,6015,22.93,comuna,DEL MAULE,DISTRITO 18,LONGAVI
JEANNETTE JARA ROMAN,4219,16.08,comuna,DEL MAULE,DISTRITO 18,LONGAVI
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,275,1.05,comuna,DEL MAULE,DISTRITO 18,LONGAVI
JOHANNES KAISER BARENTS-VON HOHENHAGEN,4098,15.62,comuna,DEL MAULE,DISTRITO 18,LONGAVI
JOSE ANTONIO KAST RIST,9813,37.41,comuna,DEL MAULE,DISTRITO 18,LONGAVI
EDUARDO ANTONIO ARTES BRICHETTI,103,0.39,comuna,DEL MAULE,DISTRITO 18,LONGAVI
EVELYN MATTHEI FORNET,1585,6.04,comuna,DEL MAULE,DISTRITO 18,LONGAVI
HAROLD MAYNE-NICHOLLS SECUL,124,0.47000000000000003,comuna,DEL MAULE,DISTRITO 18,LONGAVI
FRANCO PARISI FERNANDEZ,7288,21.47,comuna,DEL MAULE,DISTRITO 18,PARRAL
JEANNETTE JARA ROMAN,6381,18.8,comuna,DEL MAULE,DISTRITO 18,PARRAL
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,362,1.07,comuna,DEL MAULE,DISTRITO 18,PARRAL
JOHANNES KAISER BARENTS-VON HOHENHAGEN,5209,15.34,comuna,DEL MAULE,DISTRITO 18,PARRAL
JOSE ANTONIO KAST RIST,11437,33.690000000000005,comuna,DEL MAULE,DISTRITO 18,PARRAL
EDUARDO ANTONIO ARTES BRICHETTI,127,0.37,comuna,DEL MAULE,DISTRITO 18,PARRAL
EVELYN MATTHEI FORNET,2926,8.62,comuna,DEL MAULE,DISTRITO 18,PARRAL
HAROLD MAYNE-NICHOLLS SECUL,220,0.65,comuna,DEL MAULE,DISTRITO 18,PARRAL
FRANCO PARISI FERNANDEZ,1294,17.95,comuna,DEL MAULE,DISTRITO 18,PELLUHUE
JEANNETTE JARA ROMAN,1318,18.279999999999998,comuna,DEL MAULE,DISTRITO 18,PELLUHUE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,53,0.74,comuna,DEL MAULE,DISTRITO 18,PELLUHUE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1061,14.719999999999999,comuna,DEL MAULE,DISTRITO 18,PELLUHUE
JOSE ANTONIO KAST RIST,2843,39.43,comuna,DEL MAULE,DISTRITO 18,PELLUHUE
EDUARDO ANTONIO ARTES BRICHETTI,24,0.32999999999999996,comuna,DEL MAULE,DISTRITO 18,PELLUHUE
EVELYN MATTHEI FORNET,582,8.07,comuna,DEL MAULE,DISTRITO 18,PELLUHUE
HAROLD MAYNE-NICHOLLS SECUL,35,0.49,comuna,DEL MAULE,DISTRITO 18,PELLUHUE
FRANCO PARISI FERNANDEZ,4197,24.17,comuna,DEL MAULE,DISTRITO 18,RETIRO
JEANNETTE JARA ROMAN,2342,13.49,comuna,DEL MAULE,DISTRITO 18,RETIRO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,175,1.01,comuna,DEL MAULE,DISTRITO 18,RETIRO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,2550,14.68,comuna,DEL MAULE,DISTRITO 18,RETIRO
JOSE ANTONIO KAST RIST,6487,37.36,comuna,DEL MAULE,DISTRITO 18,RETIRO
EDUARDO ANTONIO ARTES BRICHETTI,54,0.31,comuna,DEL MAULE,DISTRITO 18,RETIRO
EVELYN MATTHEI FORNET,1451,8.360000000000001,comuna,DEL MAULE,DISTRITO 18,RETIRO
HAROLD MAYNE-NICHOLLS SECUL,109,0.63,comuna,DEL MAULE,DISTRITO 18,RETIRO
FRANCO PARISI FERNANDEZ,9102,24.57,comuna,DEL MAULE,DISTRITO 18,SAN JAVIER
JEANNETTE JARA ROMAN,7338,19.810000000000002,comuna,DEL MAULE,DISTRITO 18,SAN JAVIER
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,409,1.1,comuna,DEL MAULE,DISTRITO 18,SAN JAVIER
JOHANNES KAISER BARENTS-VON HOHENHAGEN,4654,12.57,comuna,DEL MAULE,DISTRITO 18,SAN JAVIER
JOSE ANTONIO KAST RIST,12249,33.07,comuna,DEL MAULE,DISTRITO 18,SAN JAVIER
EDUARDO ANTONIO ARTES BRICHETTI,198,0.53,comuna,DEL MAULE,DISTRITO 18,SAN JAVIER
EVELYN MATTHEI FORNET,2831,7.64,comuna,DEL MAULE,DISTRITO 18,SAN JAVIER
HAROLD MAYNE-NICHOLLS SECUL,258,0.7,comuna,DEL MAULE,DISTRITO 18,SAN JAVIER
FRANCO PARISI FERNANDEZ,2969,22.279999999999998,comuna,DEL MAULE,DISTRITO 18,VILLA ALEGRE
JEANNETTE JARA ROMAN,2460,18.459999999999997,comuna,DEL MAULE,DISTRITO 18,VILLA ALEGRE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,164,1.23,comuna,DEL MAULE,DISTRITO 18,VILLA ALEGRE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,2050,15.39,comuna,DEL MAULE,DISTRITO 18,VILLA ALEGRE
JOSE ANTONIO KAST RIST,4295,32.24,comuna,DEL MAULE,DISTRITO 18,VILLA ALEGRE
EDUARDO ANTONIO ARTES BRICHETTI,47,0.35,comuna,DEL MAULE,DISTRITO 18,VILLA ALEGRE
EVELYN MATTHEI FORNET,1233,9.25,comuna,DEL MAULE,DISTRITO 18,VILLA ALEGRE
HAROLD MAYNE-NICHOLLS SECUL,106,0.8,comuna,DEL MAULE,DISTRITO 18,VILLA ALEGRE
FRANCO PARISI FERNANDEZ,4161,27.04,comuna,DEL MAULE,DISTRITO 18,YERBAS BUENAS
JEANNETTE JARA ROMAN,2500,16.24,comuna,DEL MAULE,DISTRITO 18,YERBAS BUENAS
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,189,1.23,comuna,DEL MAULE,DISTRITO 18,YERBAS BUENAS
JOHANNES KAISER BARENTS-VON HOHENHAGEN,2209,14.350000000000001,comuna,DEL MAULE,DISTRITO 18,YERBAS BUENAS
JOSE ANTONIO KAST RIST,5194,33.75,comuna,DEL MAULE,DISTRITO 18,YERBAS BUENAS
EDUARDO ANTONIO ARTES BRICHETTI,65,0.42000000000000004,comuna,DEL MAULE,DISTRITO 18,YERBAS BUENAS
EVELYN MATTHEI FORNET,1002,6.51,comuna,DEL MAULE,DISTRITO 18,YERBAS BUENAS
HAROLD MAYNE-NICHOLLS SECUL,70,0.45,comuna,DEL MAULE,DISTRITO 18,YERBAS BUENAS
FRANCO PARISI FERNANDEZ,86461,22.1,region,DE ÑUBLE,NA,NA
JEANNETTE JARA ROMAN,74443,19.03,region,DE ÑUBLE,NA,NA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,3962,1.01,region,DE ÑUBLE,NA,NA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,59122,15.11,region,DE ÑUBLE,NA,NA
JOSE ANTONIO KAST RIST,123781,31.64,region,DE ÑUBLE,NA,NA
EDUARDO ANTONIO ARTES BRICHETTI,2048,0.52,region,DE ÑUBLE,NA,NA
EVELYN MATTHEI FORNET,37975,9.709999999999999,region,DE ÑUBLE,NA,NA
HAROLD MAYNE-NICHOLLS SECUL,3419,0.8700000000000001,region,DE ÑUBLE,NA,NA
FRANCO PARISI FERNANDEZ,4035,22.07,comuna,DE ÑUBLE,DISTRITO 19,BULNES
JEANNETTE JARA ROMAN,3260,17.830000000000002,comuna,DE ÑUBLE,DISTRITO 19,BULNES
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,215,1.1800000000000002,comuna,DE ÑUBLE,DISTRITO 19,BULNES
JOHANNES KAISER BARENTS-VON HOHENHAGEN,2751,15.04,comuna,DE ÑUBLE,DISTRITO 19,BULNES
JOSE ANTONIO KAST RIST,6000,32.809999999999995,comuna,DE ÑUBLE,DISTRITO 19,BULNES
EDUARDO ANTONIO ARTES BRICHETTI,87,0.48000000000000004,comuna,DE ÑUBLE,DISTRITO 19,BULNES
EVELYN MATTHEI FORNET,1821,9.96,comuna,DE ÑUBLE,DISTRITO 19,BULNES
HAROLD MAYNE-NICHOLLS SECUL,117,0.64,comuna,DE ÑUBLE,DISTRITO 19,BULNES
FRANCO PARISI FERNANDEZ,28198,20.29,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN
JEANNETTE JARA ROMAN,31476,22.650000000000002,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1368,0.98,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN
JOHANNES KAISER BARENTS-VON HOHENHAGEN,21134,15.209999999999999,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN
JOSE ANTONIO KAST RIST,38494,27.7,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN
EDUARDO ANTONIO ARTES BRICHETTI,811,0.58,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN
EVELYN MATTHEI FORNET,15776,11.350000000000001,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN
HAROLD MAYNE-NICHOLLS SECUL,1725,1.24,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN
FRANCO PARISI FERNANDEZ,5621,25.110000000000003,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
JEANNETTE JARA ROMAN,4353,19.45,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,204,0.91,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,3446,15.39,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
JOSE ANTONIO KAST RIST,6424,28.7,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
EDUARDO ANTONIO ARTES BRICHETTI,122,0.55,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
EVELYN MATTHEI FORNET,2006,8.96,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
HAROLD MAYNE-NICHOLLS SECUL,209,0.93,comuna,DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
FRANCO PARISI FERNANDEZ,1066,21.18,comuna,DE ÑUBLE,DISTRITO 19,COBQUECURA
JEANNETTE JARA ROMAN,978,19.43,comuna,DE ÑUBLE,DISTRITO 19,COBQUECURA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,49,0.97,comuna,DE ÑUBLE,DISTRITO 19,COBQUECURA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,527,10.47,comuna,DE ÑUBLE,DISTRITO 19,COBQUECURA
JOSE ANTONIO KAST RIST,1810,35.96,comuna,DE ÑUBLE,DISTRITO 19,COBQUECURA
EDUARDO ANTONIO ARTES BRICHETTI,28,0.56,comuna,DE ÑUBLE,DISTRITO 19,COBQUECURA
EVELYN MATTHEI FORNET,543,10.79,comuna,DE ÑUBLE,DISTRITO 19,COBQUECURA
HAROLD MAYNE-NICHOLLS SECUL,32,0.64,comuna,DE ÑUBLE,DISTRITO 19,COBQUECURA
FRANCO PARISI FERNANDEZ,3413,25.58,comuna,DE ÑUBLE,DISTRITO 19,COELEMU
JEANNETTE JARA ROMAN,2382,17.85,comuna,DE ÑUBLE,DISTRITO 19,COELEMU
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,131,0.98,comuna,DE ÑUBLE,DISTRITO 19,COELEMU
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1586,11.89,comuna,DE ÑUBLE,DISTRITO 19,COELEMU
JOSE ANTONIO KAST RIST,4766,35.720000000000006,comuna,DE ÑUBLE,DISTRITO 19,COELEMU
EDUARDO ANTONIO ARTES BRICHETTI,57,0.43000000000000005,comuna,DE ÑUBLE,DISTRITO 19,COELEMU
EVELYN MATTHEI FORNET,913,6.84,comuna,DE ÑUBLE,DISTRITO 19,COELEMU
HAROLD MAYNE-NICHOLLS SECUL,95,0.71,comuna,DE ÑUBLE,DISTRITO 19,COELEMU
FRANCO PARISI FERNANDEZ,5379,24.51,comuna,DE ÑUBLE,DISTRITO 19,COIHUECO
JEANNETTE JARA ROMAN,2858,13.02,comuna,DE ÑUBLE,DISTRITO 19,COIHUECO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,208,0.9500000000000001,comuna,DE ÑUBLE,DISTRITO 19,COIHUECO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,3282,14.96,comuna,DE ÑUBLE,DISTRITO 19,COIHUECO
JOSE ANTONIO KAST RIST,8372,38.15,comuna,DE ÑUBLE,DISTRITO 19,COIHUECO
EDUARDO ANTONIO ARTES BRICHETTI,87,0.4,comuna,DE ÑUBLE,DISTRITO 19,COIHUECO
EVELYN MATTHEI FORNET,1622,7.39,comuna,DE ÑUBLE,DISTRITO 19,COIHUECO
HAROLD MAYNE-NICHOLLS SECUL,137,0.62,comuna,DE ÑUBLE,DISTRITO 19,COIHUECO
FRANCO PARISI FERNANDEZ,2134,19.479999999999997,comuna,DE ÑUBLE,DISTRITO 19,EL CARMEN
JEANNETTE JARA ROMAN,1666,15.209999999999999,comuna,DE ÑUBLE,DISTRITO 19,EL CARMEN
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,110,1,comuna,DE ÑUBLE,DISTRITO 19,EL CARMEN
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1799,16.419999999999998,comuna,DE ÑUBLE,DISTRITO 19,EL CARMEN
JOSE ANTONIO KAST RIST,4124,37.65,comuna,DE ÑUBLE,DISTRITO 19,EL CARMEN
EDUARDO ANTONIO ARTES BRICHETTI,44,0.4,comuna,DE ÑUBLE,DISTRITO 19,EL CARMEN
EVELYN MATTHEI FORNET,1007,9.19,comuna,DE ÑUBLE,DISTRITO 19,EL CARMEN
HAROLD MAYNE-NICHOLLS SECUL,69,0.63,comuna,DE ÑUBLE,DISTRITO 19,EL CARMEN
FRANCO PARISI FERNANDEZ,959,19.979999999999997,comuna,DE ÑUBLE,DISTRITO 19,NINHUE
JEANNETTE JARA ROMAN,895,18.64,comuna,DE ÑUBLE,DISTRITO 19,NINHUE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,48,1,comuna,DE ÑUBLE,DISTRITO 19,NINHUE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,509,10.6,comuna,DE ÑUBLE,DISTRITO 19,NINHUE
JOSE ANTONIO KAST RIST,1845,38.43,comuna,DE ÑUBLE,DISTRITO 19,NINHUE
EDUARDO ANTONIO ARTES BRICHETTI,34,0.71,comuna,DE ÑUBLE,DISTRITO 19,NINHUE
EVELYN MATTHEI FORNET,466,9.709999999999999,comuna,DE ÑUBLE,DISTRITO 19,NINHUE
HAROLD MAYNE-NICHOLLS SECUL,45,0.9400000000000001,comuna,DE ÑUBLE,DISTRITO 19,NINHUE
FRANCO PARISI FERNANDEZ,2275,22.58,comuna,DE ÑUBLE,DISTRITO 19,ÑIQUEN
JEANNETTE JARA ROMAN,1365,13.55,comuna,DE ÑUBLE,DISTRITO 19,ÑIQUEN
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,106,1.05,comuna,DE ÑUBLE,DISTRITO 19,ÑIQUEN
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1720,17.07,comuna,DE ÑUBLE,DISTRITO 19,ÑIQUEN
JOSE ANTONIO KAST RIST,3677,36.5,comuna,DE ÑUBLE,DISTRITO 19,ÑIQUEN
EDUARDO ANTONIO ARTES BRICHETTI,52,0.52,comuna,DE ÑUBLE,DISTRITO 19,ÑIQUEN
EVELYN MATTHEI FORNET,836,8.3,comuna,DE ÑUBLE,DISTRITO 19,ÑIQUEN
HAROLD MAYNE-NICHOLLS SECUL,43,0.43000000000000005,comuna,DE ÑUBLE,DISTRITO 19,ÑIQUEN
FRANCO PARISI FERNANDEZ,1847,25.17,comuna,DE ÑUBLE,DISTRITO 19,PEMUCO
JEANNETTE JARA ROMAN,1256,17.12,comuna,DE ÑUBLE,DISTRITO 19,PEMUCO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,76,1.04,comuna,DE ÑUBLE,DISTRITO 19,PEMUCO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1068,14.55,comuna,DE ÑUBLE,DISTRITO 19,PEMUCO
JOSE ANTONIO KAST RIST,2384,32.49,comuna,DE ÑUBLE,DISTRITO 19,PEMUCO
EDUARDO ANTONIO ARTES BRICHETTI,42,0.5700000000000001,comuna,DE ÑUBLE,DISTRITO 19,PEMUCO
EVELYN MATTHEI FORNET,619,8.44,comuna,DE ÑUBLE,DISTRITO 19,PEMUCO
HAROLD MAYNE-NICHOLLS SECUL,46,0.63,comuna,DE ÑUBLE,DISTRITO 19,PEMUCO
FRANCO PARISI FERNANDEZ,2062,18.73,comuna,DE ÑUBLE,DISTRITO 19,PINTO
JEANNETTE JARA ROMAN,1432,13.01,comuna,DE ÑUBLE,DISTRITO 19,PINTO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,117,1.06,comuna,DE ÑUBLE,DISTRITO 19,PINTO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,2291,20.810000000000002,comuna,DE ÑUBLE,DISTRITO 19,PINTO
JOSE ANTONIO KAST RIST,4009,36.42,comuna,DE ÑUBLE,DISTRITO 19,PINTO
EDUARDO ANTONIO ARTES BRICHETTI,43,0.39,comuna,DE ÑUBLE,DISTRITO 19,PINTO
EVELYN MATTHEI FORNET,981,8.91,comuna,DE ÑUBLE,DISTRITO 19,PINTO
HAROLD MAYNE-NICHOLLS SECUL,73,0.6599999999999999,comuna,DE ÑUBLE,DISTRITO 19,PINTO
FRANCO PARISI FERNANDEZ,897,18.19,comuna,DE ÑUBLE,DISTRITO 19,PORTEZUELO
JEANNETTE JARA ROMAN,925,18.759999999999998,comuna,DE ÑUBLE,DISTRITO 19,PORTEZUELO
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,43,0.8700000000000001,comuna,DE ÑUBLE,DISTRITO 19,PORTEZUELO
JOHANNES KAISER BARENTS-VON HOHENHAGEN,673,13.65,comuna,DE ÑUBLE,DISTRITO 19,PORTEZUELO
JOSE ANTONIO KAST RIST,1863,37.78,comuna,DE ÑUBLE,DISTRITO 19,PORTEZUELO
EDUARDO ANTONIO ARTES BRICHETTI,22,0.45,comuna,DE ÑUBLE,DISTRITO 19,PORTEZUELO
EVELYN MATTHEI FORNET,480,9.729999999999999,comuna,DE ÑUBLE,DISTRITO 19,PORTEZUELO
HAROLD MAYNE-NICHOLLS SECUL,28,0.5700000000000001,comuna,DE ÑUBLE,DISTRITO 19,PORTEZUELO
FRANCO PARISI FERNANDEZ,3388,22.16,comuna,DE ÑUBLE,DISTRITO 19,QUILLON
JEANNETTE JARA ROMAN,2550,16.68,comuna,DE ÑUBLE,DISTRITO 19,QUILLON
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,171,1.12,comuna,DE ÑUBLE,DISTRITO 19,QUILLON
JOHANNES KAISER BARENTS-VON HOHENHAGEN,2411,15.77,comuna,DE ÑUBLE,DISTRITO 19,QUILLON
JOSE ANTONIO KAST RIST,5128,33.53,comuna,DE ÑUBLE,DISTRITO 19,QUILLON
EDUARDO ANTONIO ARTES BRICHETTI,71,0.46,comuna,DE ÑUBLE,DISTRITO 19,QUILLON
EVELYN MATTHEI FORNET,1461,9.55,comuna,DE ÑUBLE,DISTRITO 19,QUILLON
HAROLD MAYNE-NICHOLLS SECUL,112,0.73,comuna,DE ÑUBLE,DISTRITO 19,QUILLON
FRANCO PARISI FERNANDEZ,2197,23.89,comuna,DE ÑUBLE,DISTRITO 19,QUIRIHUE
JEANNETTE JARA ROMAN,1870,20.34,comuna,DE ÑUBLE,DISTRITO 19,QUIRIHUE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,102,1.11,comuna,DE ÑUBLE,DISTRITO 19,QUIRIHUE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,1058,11.51,comuna,DE ÑUBLE,DISTRITO 19,QUIRIHUE
JOSE ANTONIO KAST RIST,3055,33.220000000000006,comuna,DE ÑUBLE,DISTRITO 19,QUIRIHUE
EDUARDO ANTONIO ARTES BRICHETTI,49,0.53,comuna,DE ÑUBLE,DISTRITO 19,QUIRIHUE
EVELYN MATTHEI FORNET,803,8.729999999999999,comuna,DE ÑUBLE,DISTRITO 19,QUIRIHUE
HAROLD MAYNE-NICHOLLS SECUL,61,0.6599999999999999,comuna,DE ÑUBLE,DISTRITO 19,QUIRIHUE
FRANCO PARISI FERNANDEZ,1135,21.57,comuna,DE ÑUBLE,DISTRITO 19,RANQUIL
JEANNETTE JARA ROMAN,982,18.66,comuna,DE ÑUBLE,DISTRITO 19,RANQUIL
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,51,0.97,comuna,DE ÑUBLE,DISTRITO 19,RANQUIL
JOHANNES KAISER BARENTS-VON HOHENHAGEN,775,14.729999999999999,comuna,DE ÑUBLE,DISTRITO 19,RANQUIL
JOSE ANTONIO KAST RIST,1732,32.91,comuna,DE ÑUBLE,DISTRITO 19,RANQUIL
EDUARDO ANTONIO ARTES BRICHETTI,20,0.38,comuna,DE ÑUBLE,DISTRITO 19,RANQUIL
EVELYN MATTHEI FORNET,545,10.360000000000001,comuna,DE ÑUBLE,DISTRITO 19,RANQUIL
