candidato,votos,porcentaje,nivel,region,distrito,comuna
JOSE ANTONIO KAST RIST,387,31.9,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
EDUARDO ANTONIO ARTES BRICHETTI,2,0.16,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
EVELYN MATTHEI FORNET,12,0.99,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
HAROLD MAYNE-NICHOLLS SECUL,3,0.25,comuna,DE TARAPACA,DISTRITO 2,COLCHANE
FRANCO PARISI FERNANDEZ,978,36.96,comuna,DE TARAPACA,DISTRITO 2,HUARA
JEANNETTE JARA ROMAN,447,16.89,comuna,DE TARAPACA,DISTRITO 2,HUARA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,28,1.06,comuna,DE TARAPACA,DISTRITO 2,HUARA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,353,13.34,comuna,DE TARAPACA,DISTRITO 2,HUARA
JOSE ANTONIO KAST RIST,685,25.89,comuna,DE TARAPACA,DISTRITO 2,HUARA
EDUARDO ANTONIO ARTES BRICHETTI,10,0.38,comuna,DE TARAPACA,DISTRITO 2,HUARA
EVELYN MATTHEI FORNET,131,4.95,comuna,DE TARAPACA,DISTRITO 2,HUARA
HAROLD MAYNE-NICHOLLS SECUL,14,0.53,comuna,DE TARAPACA,DISTRITO 2,HUARA
FRANCO PARISI FERNANDEZ,30814,24.259999999999998,comuna,DE TARAPACA,DISTRITO 2,IQUIQUE
JEANNETTE JARA ROMAN,31793,25.03,comuna,DE TARAPACA,DISTRITO 2,IQUIQUE
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,1438,1.1300000000000001,comuna,DE TARAPACA,DISTRITO 2,IQUIQUE
JOHANNES KAISER BARENTS-VON HOHENHAGEN,19814,15.6,comuna,DE TARAPACA,DISTRITO 2,IQUIQUE
JOSE ANTONIO KAST RIST,30117,23.71,comuna,DE TARAPACA,DISTRITO 2,IQUIQUE
EDUARDO ANTONIO ARTES BRICHETTI,715,0.56,comuna,DE TARAPACA,DISTRITO 2,IQUIQUE
EVELYN MATTHEI FORNET,10597,8.34,comuna,DE TARAPACA,DISTRITO 2,IQUIQUE
HAROLD MAYNE-NICHOLLS SECUL,1735,1.37,comuna,DE TARAPACA,DISTRITO 2,IQUIQUE
FRANCO PARISI FERNANDEZ,1698,33.41,comuna,DE TARAPACA,DISTRITO 2,PICA
JEANNETTE JARA ROMAN,1131,22.259999999999998,comuna,DE TARAPACA,DISTRITO 2,PICA
MARCO ANTONIO ENRIQUEZ-OMINAMI GUMUCIO,59,1.1600000000000001,comuna,DE TARAPACA,DISTRITO 2,PICA
JOHANNES KAISER BARENTS-VON HOHENHAGEN,834,16.41,comuna,DE TARAPACA,DISTRITO 2,PICA
JOSE ANTONIO KAST RIST,1004,19.759999999999998,comuna,DE TARAPACA,DISTRITO 2,PICA
EDUARDO ANTONIO ARTES BRICHETTI,21,0.41000000000000003,comuna,DE TARAPACA,DISTRITO 2,PICA
EVELYN MATTHEI FORNET,298,5.859999999999999,comuna,DE TARAPACA,DISTRITO 2,PICA
HAROLD MAYNE-NICHOLLS SECUL,37,0.73,comuna,DE TARAPACA,DISTRITO 2,PICA
